#,Company,Symbol,Weight,Price,Chg,% Chg
390,Global Payments Inc,GPN,0.03%,73.26,0.67,0.92%
391,Southwest Airlines Co,LUV,0.03%,40.86,0.08,0.20%
392,Smurfit WestRock PLC,SW,0.03%,38.05,0.31,0.82%
393,DuPont de Nemours Inc,DD,0.03%,48.12,0.97,2.06%
394,Brown & Brown Inc,BRO,0.03%,57.82,-0.7,-1.20%
395,Equifax Inc,EFX,0.03%,164.04,0.94,0.58%
396,Incyte Corp,INCY,0.03%,97.16,-0.25,-0.26%
397,Viatris Inc,VTRS,0.03%,16.65,0.19,1.15%
398,Evergy Inc,EVRG,0.03%,83.94,0.29,0.35%
399,Packaging Corp of America,PKG,0.03%,215.91,2.15,1.01%
400,International Flavors & Fragrances Inc,IFF,0.03%,75.28,0.03,0.04%
401,Alliant Energy Corp,LNT,0.03%,73.95,0.67,0.91%
402,Snap-on Inc,SNA,0.03%,366.65,4.34,1.20%
403,CF Industries Holdings Inc,CF,0.03%,121.7,0.01,0.01%
404,Moderna Inc,MRNA,0.03%,46.88,-0.38,-0.80%
405,Dollar Tree Inc,DLTR,0.03%,94.98,-0.73,-0.76%
406,Fortive Corp,FTV,0.03%,59.13,0.11,0.19%
407,General Mills Inc,GIS,0.03%,33.69,0.22,0.66%
408,Charter Communications Inc,CHTR,0.03%,145.15,-3.75,-2.52%
409,Essex Property Trust Inc,ESS,0.03%,276.7,2.9,1.06%
410,Amcor PLC,AMCR,0.03%,38.38,-0.12,-0.31%
411,Broadridge Financial Solutions Inc,BR,0.03%,150.49,0.47,0.31%
412,Invitation Homes Inc,INVH,0.03%,29.29,0.26,0.90%
413,PTC Inc,PTC,0.03%,148.23,2.39,1.64%
414,Weyerhaeuser Co,WY,0.03%,23.66,0.14,0.60%
415,Lennox International Inc,LII,0.02%,484.64,4.13,0.86%
416,Tractor Supply Co,TSCO,0.02%,31.62,-0.05,-0.16%
417,International Paper Co,IP,0.02%,31.29,-0.21,-0.67%
418,Zimmer Biomet Holdings Inc,ZBH,0.02%,85.5,0.19,0.22%
419,NVR Inc,NVR,0.02%,6036.99,-10.88,-0.18%
420,Kimco Realty Corp,KIM,0.02%,24.11,0.06,0.25%
421,Nordson Corp,NDSN,0.02%,289.9,3.13,1.09%
422,Franklin Resources Inc,BEN,0.02%,31.02,0.16,0.52%
423,Textron Inc,TXT,0.02%,91.83,1.59,1.76%
424,Generac Holdings Inc,GNRC,0.02%,270.14,22.35,9.02%
425,Leidos Holdings Inc,LDOS,0.02%,126.01,2.97,2.41%
426,IDEX Corp,IEX,0.02%,208.78,3.17,1.54%
427,Host Hotels & Resorts Inc,HST,0.02%,22.38,-0.03,-0.13%
428,Mid-America Apartment Communities Inc,MAA,0.02%,131.14,1.13,0.87%
429,Lululemon Athletica Inc,LULU,0.02%,127.18,0.42,0.33%
430,Deckers Outdoor Corp,DECK,0.02%,106.67,4.05,3.95%
431,Ball Corp,BALL,0.02%,56.51,0.16,0.28%
432,Gen Digital Inc,GEN,0.02%,24.82,-0.03,-0.12%
433,Regency Centers Corp,REG,0.02%,78.84,0.5,0.64%
434,TKO Group Holdings Inc,TKO,0.02%,191.5,-0.13,-0.07%
435,CDW Corp/DE,CDW,0.02%,110.82,3.94,3.69%
436,Everest Group Ltd,EG,0.02%,352.71,-3.74,-1.05%
437,CoStar Group Inc,CSGP,0.02%,33.95,0.02,0.06%
438,APA Corp,APA,0.02%,38.8,0.46,1.20%
439,Healthpeak Properties Inc,DOC,0.02%,19.73,0.09,0.46%
440,Masco Corp,MAS,0.02%,67.26,0.11,0.16%
441,Jacobs Solutions Inc,J,0.02%,114.69,0.65,0.57%
442,Genuine Parts Co,GPC,0.02%,97.87,0.25,0.26%
443,Solventum Corp,SOLV,0.02%,76.83,0.08,0.10%
444,Trimble Inc,TRMB,0.02%,56.34,0.37,0.66%
445,Best Buy Co Inc,BBY,0.02%,61.63,0.48,0.78%
446,Tyler Technologies Inc,TYL,0.02%,313.25,4.51,1.46%
447,McCormick & Co Inc/MD,MKC,0.02%,47.8,0.84,1.79%
448,Fox Corp,FOXA,0.02%,63.98,-0.28,-0.44%
449,DaVita Inc,DVA,0.02%,198.52,-0.14,-0.07%
450,Huntington Ingalls Industries Inc,HII,0.02%,320.63,3.08,0.97%
451,Fox Corp,FOX,0.02%,57.24,-0.39,-0.68%
452,Assurant Inc,AIZ,0.02%,254.82,-0.88,-0.34%
453,Pinnacle West Capital Corp,PNW,0.02%,102.94,1.1,1.08%
454,Hasbro Inc,HAS,0.02%,88.1,-1.98,-2.20%
455,Skyworks Solutions Inc,SWKS,0.02%,82.42,8.88,12.08%
456,UDR Inc,UDR,0.02%,38.01,0.5,1.33%
457,Avery Dennison Corp,AVY,0.02%,159.66,0.76,0.48%
458,Cooper Cos Inc/The,COO,0.02%,62.55,-0.3,-0.48%
459,Zebra Technologies Corp,ZBRA,0.02%,255.55,13.29,5.49%
460,Aptiv PLC,APTV,0.02%,57.36,1.51,2.70%
461,Globe Life Inc,GL,0.02%,156.28,-0.32,-0.20%
462,Pentair PLC,PNR,0.02%,74.82,0.39,0.52%
463,Brown-Forman Corp,BF.B,0.02%,26.2,0.16,0.61%
464,Invesco Ltd,IVZ,0.02%,27.05,0.07,0.26%
465,GoDaddy Inc,GDDY,0.02%,90.46,-1.1,-1.20%
466,Stanley Black & Decker Inc,SWK,0.02%,76.46,0.92,1.22%
467,Erie Indemnity Co,ERIE,0.02%,224.23,-0.5,-0.22%
468,Align Technology Inc,ALGN,0.02%,163.61,0.57,0.35%
469,Paramount Skydance Corp,PSKY,0.02%,10.46,0.18,1.75%
470,Hormel Foods Corp,HRL,0.02%,21.24,0.16,0.76%
471,Clorox Co/The,CLX,0.02%,95.11,-0.06,-0.06%
472,Allegion plc,ALLE,0.02%,130.43,-0.27,-0.21%
473,J M Smucker Co/The,SJM,0.02%,103.36,1.45,1.42%
474,Revvity Inc,RVTY,0.02%,96.95,1.57,1.65%
475,Insulet Corp,PODD,0.02%,154.87,-2.02,-1.29%
476,Gartner Inc,IT,0.02%,160.01,2.79,1.77%
477,Camden Property Trust,CPT,0.02%,107.47,1.3,1.22%
478,Domino's Pizza Inc,DPZ,0.02%,316.52,0.05,0.02%
479,Trade Desk Inc/The,TTD,0.02%,22.38,1.1,5.17%
480,AES Corp/The,AES,0.02%,14.68,-0.01,-0.07%
481,Federal Realty Investment Trust,FRT,0.02%,119.75,1.14,0.96%
482,Wynn Resorts Ltd,WYNN,0.01%,97.24,-1.3,-1.32%
483,Jack Henry & Associates Inc,JKHY,0.01%,140.19,0.63,0.45%
484,Baxter International Inc,BAX,0.01%,19.18,0.15,0.79%
485,MGM Resorts International,MGM,0.01%,38.4,0.74,1.96%
486,BXP Inc,BXP,0.01%,60.29,0.16,0.27%
487,Universal Health Services Inc,UHS,0.01%,157.8,-4.65,-2.86%
488,News Corp,NWSA,0.01%,25.89,-0.37,-1.41%
489,Henry Schein Inc,HSIC,0.01%,74.21,0.71,0.97%
490,FactSet Research Systems Inc,FDS,0.01%,232.0,6.99,3.11%
491,Alexandria Real Estate Equities Inc,ARE,0.01%,48.37,0.52,1.09%
492,Molson Coors Beverage Co,TAP,0.01%,42.55,0.02,0.05%
493,Builders FirstSource Inc,BLDR,0.01%,74.15,0.29,0.39%
494,A O Smith Corp,AOS,0.01%,57.28,0.11,0.19%
495,Charles River Laboratories International Inc,CRL,0.01%,160.3,1.44,0.91%
496,Bio-Techne Corp,TECH,0.01%,48.21,0.84,1.77%
497,Norwegian Cruise Line Holdings Ltd,NCLH,0.01%,16.3,-0.17,-1.03%
498,Mosaic Co/The,MOS,0.01%,22.51,0.57,2.60%
499,Pool Corp,POOL,0.01%,184.64,2.95,1.62%
500,Conagra Brands Inc,CAG,0.01%,13.56,0.18,1.35%
501,Campbell's Company/The,CPB,0.01%,20.58,0.53,2.64%
502,News Corp,NWS,0.01%,29.68,-0.4,-1.33%
503,EPAM Systems Inc,EPAM,0.01%,102.69,-0.5,-0.48%
